food_id,wikipedia_id,food_group,food_subgroup,ncbi_taxonomy_id,db,rank,matched_taxid,kingdom,phylum,class,order,family,genus,species,taxon,raw_reads,reads,fraction,sample_id
549,Domestic pig,Animal foods,Swine,9825,genbank,species,9823,Eukaryota,Chordata,Mammalia,Artiodactyla,Suidae,Sus,Sus scrofa,Sus scrofa,78,107,1.10408646132034e-05,M0x10MCx1680
334,Chicken,Animal foods,Poultry,9031,genbank,species,9031,Eukaryota,Chordata,Aves,Galliformes,Phasianidae,Gallus,Gallus gallus,Gallus gallus,20,168,1.73351892992353e-05,M0x10MCx1680
489,Spelt,Cereals and cereal products,Cereals,58933,genbank,genus,4564,Eukaryota,Streptophyta,Magnoliopsida,Poales,Poaceae,Triticum,Triticum spelta,Triticum,224,533,5.49979517648358e-05,M0x10MCx1680
575,Wheat,Cereals and cereal products,Cereals,4564,genbank,genus,4564,Eukaryota,Streptophyta,Magnoliopsida,Poales,Poaceae,Triticum,"",Triticum,224,533,5.49979517648358e-05,M0x10MCx1680
143,Prunus,Fruits,Drupes,3754,genbank,genus,3754,Eukaryota,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,"",Prunus,27,53,5.46883948130637e-06,M0x10MCx1680
146,Prunus_cerasus,Fruits,Drupes,140311,genbank,genus,3754,Eukaryota,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,Prunus cerasus,Prunus,27,53,5.46883948130637e-06,M0x10MCx1680
147,Prunus_domestica,Fruits,Drupes,3758,genbank,genus,3754,Eukaryota,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,Prunus domestica,Prunus,27,53,5.46883948130637e-06,M0x10MCx1680
576,Common_chokecherry,Fruits,Drupes,133204,genbank,genus,3754,Eukaryota,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,Prunus virginiana,Prunus,27,53,5.46883948130637e-06,M0x10MCx1680
917,Prunus tomentosa,Fruits,Berries,105667,genbank,genus,3754,Eukaryota,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,Prunus tomentosa,Prunus,27,53,5.46883948130637e-06,M0x10MCx1680
187,Common wheat,Cereals and cereal products,Cereals,4565,genbank,species,4565,Eukaryota,Streptophyta,Magnoliopsida,Poales,Poaceae,Triticum,Triticum aestivum,Triticum aestivum,657,2652,0.000351031897442563,M0x10MCx1896
148,Prunus_dulcis,Nuts,Nuts,3755,genbank,species,3755,Eukaryota,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,Prunus dulcis,Prunus dulcis,14,89,1.17804822294073e-05,M0x10MCx1896
94,Juglans regia,Nuts,Nuts,51240,genbank,species,51240,Eukaryota,Streptophyta,Magnoliopsida,Fagales,Juglandaceae,Juglans,Juglans regia,Juglans regia,19,42,5.55932869252928e-06,M0x10MCx1896
27,Brassica juncea,Vegetables,Cabbages,3707,genbank,species,3707,Eukaryota,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassica,Brassica juncea,Brassica juncea,52,199,2.63406288050792e-05,M0x10MCx1896
182,Cocoa_bean,Cocoa and cocoa products,Cocoa,3641,genbank,species,3641,Eukaryota,Streptophyta,Magnoliopsida,Malvales,Malvaceae,Theobroma,Theobroma cacao,Theobroma cacao,51,56,7.41243825670571e-06,M0x10MCx1896
15,Wild celery,Herbs and Spices,Spices,4045,genbank,species,4045,Eukaryota,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Apium,Apium graveolens,Apium graveolens,175,222,2.93850230890833e-05,M0x10MCx1896
214,Celeriac,Vegetables,Root vegetables,278110,genbank,species,4045,Eukaryota,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Apium,Apium graveolens,Apium graveolens,175,222,2.93850230890833e-05,M0x10MCx1896
