sample_id,name,taxonomy_id,taxonomy_lvl,kraken_assigned_reads,added_reads,new_est_reads,fraction_total_reads,lineage,taxid_lineage
D_M0x10MCx1888,Bacteria,2,D,6011095,0,6011095,0.99794,k__Bacteria;p__;c__;o__;f__;g__;s__,2;;;;;;
D_M0x10MCx1888,Eukaryota,2759,D,6446,0,6446,0.00107,k__Eukaryota;p__;c__;o__;f__;g__;s__,2759;;;;;;
D_M0x10MCx1888,Viruses,10239,D,2994,0,2994,0.00050,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_M0x10MCx1888,Duplodnaviria,2731341,D,2993,0,2993,0.00050,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_M0x10MCx2392,Bacteria,2,D,9111423,0,9111423,0.99766,k__Bacteria;p__;c__;o__;f__;g__;s__,2;;;;;;
D_M0x10MCx2392,Eukaryota,2759,D,3107,0,3107,0.00034,k__Eukaryota;p__;c__;o__;f__;g__;s__,2759;;;;;;
D_M0x10MCx2392,Archaea,2157,D,3006,0,3006,0.00033,k__Archaea;p__;c__;o__;f__;g__;s__,2157;;;;;;
D_M0x10MCx2392,Viruses,10239,D,7647,0,7647,0.00084,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_M0x10MCx2392,Duplodnaviria,2731341,D,7610,0,7610,0.00083,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_M0x10MCx2392,Monodnaviria,2731342,D,37,0,37,0.00000,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_M0x10MCx2066,Bacteria,2,D,6358668,0,6358668,0.99782,k__Bacteria;p__;c__;o__;f__;g__;s__,2;;;;;;
D_M0x10MCx2066,Eukaryota,2759,D,10437,0,10437,0.00164,k__Eukaryota;p__;c__;o__;f__;g__;s__,2759;;;;;;
D_M0x10MCx2066,Viruses,10239,D,1715,0,1715,0.00027,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_M0x10MCx2066,Duplodnaviria,2731341,D,1715,0,1715,0.00027,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_M0x10MCx2460,Bacteria,2,D,6557724,0,6557724,0.99599,k__Bacteria;p__;c__;o__;f__;g__;s__,2;;;;;;
D_M0x10MCx2460,Eukaryota,2759,D,1573,0,1573,0.00024,k__Eukaryota;p__;c__;o__;f__;g__;s__,2759;;;;;;
D_M0x10MCx2460,Viruses,10239,D,12415,0,12415,0.00189,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_M0x10MCx2460,Duplodnaviria,2731341,D,12271,0,12271,0.00186,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_M0x10MCx2460,Monodnaviria,2731342,D,144,0,144,0.00002,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_M0x10MCx1810,Bacteria,2,D,5447461,0,5447461,0.99949,k__Bacteria;p__;c__;o__;f__;g__;s__,2;;;;;;
D_M0x10MCx1810,Eukaryota,2759,D,1116,0,1116,0.00020,k__Eukaryota;p__;c__;o__;f__;g__;s__,2759;;;;;;
