food_id,wikipedia_id,food_group,food_subgroup,ncbi_taxonomy_id,db,rank,matched_taxid,kingdom,phylum,class,order,family,genus,species,taxon,taxrank,kraken_raw_reads,reads,sample_id,lineage,taxid_lineage,relative_abundance,total_reads,total_raw_reads,bacteria_reads,human_reads
83,Strawberry,Fruits,Berries,3747,genbank,species,3747,Eukaryota,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Fragaria,Fragaria x ananassa,Fragaria x ananassa,species,143,199,M0x10MCx2411,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Rosales;f__Rosaceae;g__Fragaria;s__Fragaria x ananassa,2759;35493;3398;3744;3745;3746;3747,5.52611840722272e-05,3601081,2061591,3592762,351
182,Cocoa_bean,Cocoa and cocoa products,Cocoa,3641,genbank,species,3641,Eukaryota,Streptophyta,Magnoliopsida,Malvales,Malvaceae,Theobroma,Theobroma cacao,Theobroma cacao,species,20,55,M0x10MCx2411,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Malvales;f__Malvaceae;g__Theobroma;s__Theobroma cacao,2759;35493;3398;41938;3629;3640;3641,1.52731915777512e-05,3601081,2061591,3592762,351
187,Common wheat,Cereals and cereal products,Cereals,4565,genbank,species,4565,Eukaryota,Streptophyta,Magnoliopsida,Poales,Poaceae,Triticum,Triticum aestivum,Triticum aestivum,species,76,256,M0x10MCx2411,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Poales;f__Poaceae;g__Triticum;s__Triticum aestivum,2759;35493;3398;38820;4479;4564;4565,7.10897644346239e-05,3601081,2061591,3592762,351
169,Rye,Cereals and cereal products,Cereals,4550,genbank,species,4550,Eukaryota,Streptophyta,Magnoliopsida,Poales,Poaceae,Secale,Secale cereale,Secale cereale,species,123,231,M0x10MCx2411,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Poales;f__Poaceae;g__Secale;s__Secale cereale,2759;35493;3398;38820;4479;4549;4550,6.41474046265552e-05,3601081,2061591,3592762,351
130,Avocado,Vegetables,Fruit vegetables,3435,genbank,species,3435,Eukaryota,Streptophyta,Magnoliopsida,Laurales,Lauraceae,Persea,Persea americana,Persea americana,species,86,287,M0x10MCx2411,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Laurales;f__Lauraceae;g__Persea;s__Persea americana,2759;35493;3398;3432;3433;3434;3435,7.96982905966292e-05,3601081,2061591,3592762,351
334,Chicken,Animal foods,Poultry,9031,genbank,species,9031,Eukaryota,Chordata,Aves,Galliformes,Phasianidae,Gallus,Gallus gallus,Gallus gallus,species,128,194,M0x10MCx2411,k__Eukaryota;p__Chordata;c__Aves;o__Galliformes;f__Phasianidae;g__Gallus;s__Gallus gallus,2759;7711;8782;8976;9005;9030;9031,5.38727121106135e-05,3601081,2061591,3592762,351
506,Cattle,Animal foods,Bovines,9913,genbank,species,9913,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos taurus,Bos taurus,species,76,1595,M0x10MCx2392,k__Eukaryota;p__Chordata;c__Mammalia;o__Artiodactyla;f__Bovidae;g__Bos;s__Bos taurus,2759;7711;40674;91561;9895;9903;9913,0.000176196932273324,9052371,5660770,9038941,616
310,Wild boar,Animal foods,Swine,9823,genbank,species,9823,Eukaryota,Chordata,Mammalia,Artiodactyla,Suidae,Sus,Sus scrofa,Sus scrofa,species,50,83,M0x10MCx2392,k__Eukaryota;p__Chordata;c__Mammalia;o__Artiodactyla;f__Suidae;g__Sus;s__Sus scrofa,2759;7711;40674;91561;9821;9822;9823,9.1688685759786e-06,9052371,5660770,9038941,616
549,Domestic pig,Animal foods,Swine,9825,genbank,species,9823,Eukaryota,Chordata,Mammalia,Artiodactyla,Suidae,Sus,Sus scrofa,Sus scrofa,species,50,83,M0x10MCx2392,k__Eukaryota;p__Chordata;c__Mammalia;o__Artiodactyla;f__Suidae;g__Sus;s__Sus scrofa,2759;7711;40674;91561;9821;9822;9823,9.1688685759786e-06,9052371,5660770,9038941,616
457,Roselle_(plant),Herbs and Spices,Herbs,183260,genbank,species,183260,Eukaryota,Streptophyta,Magnoliopsida,Malvales,Malvaceae,Hibiscus,Hibiscus sabdariffa,Hibiscus sabdariffa,species,30,193,M0x10MCx2392,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Malvales;f__Malvaceae;g__Hibiscus;s__Hibiscus sabdariffa,2759;35493;3398;41938;3629;47605;183260,2.13203811465527e-05,9052371,5660770,9038941,616
748,Hibiscus_tea,Teas,Herbal teas,183260,genbank,species,183260,Eukaryota,Streptophyta,Magnoliopsida,Malvales,Malvaceae,Hibiscus,Hibiscus sabdariffa,Hibiscus sabdariffa,species,30,193,M0x10MCx2392,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Malvales;f__Malvaceae;g__Hibiscus;s__Hibiscus sabdariffa,2759;35493;3398;41938;3629;47605;183260,2.13203811465527e-05,9052371,5660770,9038941,616
182,Cocoa_bean,Cocoa and cocoa products,Cocoa,3641,genbank,species,3641,Eukaryota,Streptophyta,Magnoliopsida,Malvales,Malvaceae,Theobroma,Theobroma cacao,Theobroma cacao,species,18,143,M0x10MCx2392,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Malvales;f__Malvaceae;g__Theobroma;s__Theobroma cacao,2759;35493;3398;41938;3629;3640;3641,1.57969663417463e-05,9052371,5660770,9038941,616
187,Common wheat,Cereals and cereal products,Cereals,4565,genbank,species,4565,Eukaryota,Streptophyta,Magnoliopsida,Poales,Poaceae,Triticum,Triticum aestivum,Triticum aestivum,species,26,183,M0x10MCx2392,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Poales;f__Poaceae;g__Triticum;s__Triticum aestivum,2759;35493;3398;38820;4479;4564;4565,2.02156981855914e-05,9052371,5660770,9038941,616
6,Onion,Vegetables,Onion-family vegetables,4679,genbank,species,4679,Eukaryota,Streptophyta,Magnoliopsida,Asparagales,Amaryllidaceae,Allium,Allium cepa,Allium cepa,species,11,86,M0x10MCx2392,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Asparagales;f__Amaryllidaceae;g__Allium;s__Allium cepa,2759;35493;3398;73496;4668;4678;4679,9.50027346426699e-06,9052371,5660770,9038941,616
226,"",Vegetables,Onion-family vegetables,4679,genbank,species,4679,Eukaryota,Streptophyta,Magnoliopsida,Asparagales,Amaryllidaceae,Allium,Allium cepa,Allium cepa,species,11,86,M0x10MCx2392,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Asparagales;f__Amaryllidaceae;g__Allium;s__Allium cepa,2759;35493;3398;73496;4668;4678;4679,9.50027346426699e-06,9052371,5660770,9038941,616
187,Common wheat,Cereals and cereal products,Cereals,4565,genbank,species,4565,Eukaryota,Streptophyta,Magnoliopsida,Poales,Poaceae,Triticum,Triticum aestivum,Triticum aestivum,species,1114,3720,M0x10MCx2066,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Poales;f__Poaceae;g__Triticum;s__Triticum aestivum,2759;35493;3398;38820;4479;4564;4565,0.00058424682103766,6367172,3415436,6355495,586
95,Lettuce,Vegetables,Leaf vegetables,4236,genbank,species,4236,Eukaryota,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Lactuca,Lactuca sativa,Lactuca sativa,species,1188,1590,M0x10MCx2066,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Asterales;f__Asteraceae;g__Lactuca;s__Lactuca sativa,2759;35493;3398;4209;4210;4235;4236,0.000249718399314484,6367172,3415436,6355495,586
40,Capsicum_annuum,Vegetables,Fruit vegetables,4072,genbank,species,4072,Eukaryota,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Capsicum,Capsicum annuum,Capsicum annuum,species,15,40,M0x10MCx2066,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Solanales;f__Solanaceae;g__Capsicum;s__Capsicum annuum,2759;35493;3398;4069;4070;4071;4072,6.28222388212538e-06,6367172,3415436,6355495,586
909,Capsicum_annuum,Vegetables,Fruit vegetables,4072,genbank,species,4072,Eukaryota,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Capsicum,Capsicum annuum,Capsicum annuum,species,15,40,M0x10MCx2066,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Solanales;f__Solanaceae;g__Capsicum;s__Capsicum annuum,2759;35493;3398;4069;4070;4071;4072,6.28222388212538e-06,6367172,3415436,6355495,586
