sample_id,compound_id,source_type,unit,abundance,name,monomer_mass,kingdom,superclass,class,subclass,CAS,relative_abundance
positive_15,2,Nutrient,mg/100g,9467.29110858798,Proteins,,"","","","","",0.128383991691494
positive_15,3,Nutrient,mg/100g,53848.8398053397,Carbohydrate,,"","","","","",0.73023306486204
positive_15,4,Nutrient,mg/100g,877.715029192285,Fatty acids,,"","","","","",0.0119025133718666
positive_15,5,Nutrient,mg/100g,6385.56541080222,Fiber (dietary),,"","","","","",0.0865933419858891
positive_15,13,Nutrient,mg/100g,80.1407989091782,18:1 c,,"","","","","",0.00108677292620404
positive_15,15,Nutrient,mg/100g,177.957845321199,18:1 undifferentiated,,"","","","","",0.00241324981698599
positive_15,20,Nutrient,mg/100g,270.750906281285,18:2 undifferentiated,,"","","","","",0.00367159747215859
positive_15,21,Nutrient,mg/100g,22.6308496337502,18:3 undifferentiated,,"","","","","",0.000306892307210799
positive_15,25,Nutrient,mg/100g,16.6329960000181,"20:2 n-6 c,c",,"","","","","",0.000225556645061216
positive_15,31,Nutrient,mg/100g,21.1692676363867,22:0,,"","","","","",0.000287072093714275
positive_15,37,Nutrient,mg/100g,6.80440745455287,24:1 c,,"","","","","",9.22731729795884e-05
positive_15,38,Nutrient,kcal/100g,794.338247142128,Energy,,"","","","","",
positive_15,8417,Compound,mg/100g,0.321070255853881,Thiamine hydrochloride,336.057837322,"","","","",67-03-8,6.24418110443569e-06
positive_15,12163,Compound,mg/100g,0.198802673891786,Riboflavine,376.138284392,Organic compounds,Organoheterocyclic compounds,Pteridines and derivatives,Alloxazines and isoalloxazines,83-88-5,3.8663185928731e-06
positive_15,1014,Compound,NE,2.48973404990238,Nicotinic acid,123.032028409,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives,59-67-6,
positive_15,1014,Compound,mg/100g,1.875212341414,Nicotinic acid,123.032028409,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives,59-67-6,3.64691691477978e-05
positive_15,1224,Compound,mg/100g,26.591564689563,L-Ascorbic acid,176.032087988,"","","","",50-81-7,0.000517153310668287
positive_15,3524,Compound,mg/100g,22.633085765051,Sodium,22.989769675,Inorganic compounds,Homogeneous metal compounds,Homogeneous alkali metal compounds,"",7440-23-5,0.000440168729094361
positive_15,3522,Compound,mg/100g,557.869258801255,Potassium,38.963706861,Inorganic compounds,Homogeneous metal compounds,Homogeneous alkali metal compounds,"",7440-09-7,0.0108494531057952
positive_15,3514,Compound,mg/100g,98.2592163830461,Calcium,39.962591155,Inorganic compounds,Homogeneous metal compounds,Homogeneous alkaline earth metal compounds,"",7440-70-2,0.00191094731165287
positive_15,3521,Compound,mg/100g,225.297888180575,Phosphorus,33.997236608,"","","","",7723-14-0,0.00438159807891592
positive_15,16258,Compound,mg/100g,4.14087472424926,Iron,55.934942133,Inorganic compounds,Homogeneous metal compounds,Homogeneous transition metal compounds,"",15438-31-0,8.05318189323641e-05
positive_15,3730,Compound,mg/100g,1.67901617577565,Zinc,63.929146578,Inorganic compounds,Homogeneous metal compounds,Homogeneous transition metal compounds,"",7440-66-6,3.26535419823863e-05
positive_15,12030,Compound,mg/100g,4.14739183891957,Decanoic acid,172.146329884,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,334-48-5,8.06585639158618e-05
positive_15,21631,Compound,mg/100g,11.0042519626185,"C18:1, n-9",282.255880332,"","","","","",0.00021401092415332
positive_15,12763,Compound,mg/100g,365.29277859066,"(Z,Z)-9,12-Octadecadienoic acid",280.240230268,Organic compounds,Lipids and lipid-like molecules,Lineolic acids and derivatives,"",60-33-3,0.00710422165889035
positive_15,12465,Compound,mg/100g,30.5627972509859,alpha-Linolenic acid,278.224580204,Organic compounds,Lipids and lipid-like molecules,Lineolic acids and derivatives,"",463-40-1,0.000594385925241721
positive_15,12400,Compound,mg/100g,394.042733961891,L-Isoleucine,131.094628665,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",73-32-5,0.00766335139703748
positive_15,1946,Compound,mg/100g,617.28868645375,L-Leucine,131.094628665,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",61-90-5,0.0120050433874217
positive_15,474,Compound,mg/100g,550.756875714687,L-Lysine,146.105527702,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",56-87-1,0.0107111313295891
positive_15,12686,Compound,mg/100g,140.967302574101,L-Methionine,149.051049291,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",63-68-3,0.00274153507223995
positive_15,12566,Compound,mg/100g,141.240327189662,L-Cystine,240.023848262,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",56-89-3,0.00274684486071911
positive_15,446,Compound,mg/100g,212.132297031149,L-Tyrosine,181.073893223,Organic compounds,Phenylpropanoids and polyketides,Phenylpropanoic acids,"",60-18-4,0.00412555338469366
positive_15,12002,Compound,mg/100g,319.51270758434,L-Threonine,119.058243159,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,72-19-5,0.00621388987285445
positive_15,2250,Compound,mg/100g,126.880078436791,L-Tryptophan,204.089877638,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Indolyl carboxylic acids and derivatives,73-22-3,0.00246756644024006
positive_15,2257,Compound,mg/100g,1302.95042341692,Arginine,174.111675712,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",74-79-3,0.0253398073025458
positive_15,11859,Compound,mg/100g,223.578641563781,L-Histidine,155.069476547,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",71-00-1,0.00434816213446851
positive_15,556,Compound,mg/100g,339.186219872906,L-Alanine,89.047678473,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",56-41-7,0.00659650075458639
positive_15,12570,Compound,mg/100g,1084.39750732322,L-Aspartic acid,133.037507717,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",56-84-8,0.0210893855829683
positive_15,12538,Compound,mg/100g,1855.96612960255,L-Glutamic acid,147.053157781,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",56-86-0,0.036094868414753
positive_15,484,Compound,mg/100g,463.299421709339,Glycine,75.032028409,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",56-40-6,0.00901025692037324
positive_15,570,Compound,mg/100g,402.745435009247,L-Proline,115.063328537,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",147-85-3,0.00783260171047101
