sample_id,name,taxonomy_id,taxonomy_lvl,kraken_assigned_reads,added_reads,new_est_reads,fraction_total_reads,lineage,taxid_lineage
S_positive_11,Streptococcus anginosus,1328,S,79,149,228,0.00003,k__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus anginosus,2;1239;91061;186826;1300;1301;1328
S_positive_11,Streptococcus intermedius,1338,S,58,45,103,0.00001,k__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus intermedius,2;1239;91061;186826;1300;1301;1338
S_positive_11,Streptococcus constellatus,76860,S,29,146,175,0.00002,k__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus constellatus,2;1239;91061;186826;1300;1301;76860
S_positive_11,Streptococcus lutetiensis,150055,S,194,236,430,0.00005,k__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus lutetiensis,2;1239;91061;186826;1300;1301;150055
S_positive_11,Streptococcus suis,1307,S,158,79,237,0.00003,k__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus suis,2;1239;91061;186826;1300;1301;1307
S_positive_11,Streptococcus gallolyticus,315405,S,129,463,592,0.00007,k__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus gallolyticus,2;1239;91061;186826;1300;1301;315405
S_positive_11,Streptococcus mutans,1309,S,94,16,110,0.00001,k__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus mutans,2;1239;91061;186826;1300;1301;1309
S_positive_11,Streptococcus pyogenes,1314,S,83,72,155,0.00002,k__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pyogenes,2;1239;91061;186826;1300;1301;1314
S_positive_11,Streptococcus gordonii,1302,S,76,10,86,0.00001,k__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus gordonii,2;1239;91061;186826;1300;1301;1302
S_positive_11,Streptococcus oralis,1303,S,65,58,123,0.00001,k__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus oralis,2;1239;91061;186826;1300;1301;1303
S_positive_11,Streptococcus ilei,1156431,S,57,159,216,0.00002,k__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus ilei,2;1239;91061;186826;1300;1301;1156431
S_positive_11,Streptococcus dysgalactiae,1334,S,52,234,286,0.00003,k__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus dysgalactiae,2;1239;91061;186826;1300;1301;1334
S_positive_11,Streptococcus pseudopneumoniae,257758,S,42,155,197,0.00002,k__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pseudopneumoniae,2;1239;91061;186826;1300;1301;257758
S_positive_11,Streptococcus pasteurianus,197614,S,40,614,654,0.00008,k__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pasteurianus,2;1239;91061;186826;1300;1301;197614
