3747	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Rosales;f__Rosaceae;g__Fragaria;s__Fragaria x ananassa	2759;35493;3398;3744;3745;3746;3747
3708	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Brassicales;f__Brassicaceae;g__Brassica;s__Brassica napus	2759;35493;3398;3699;3700;3705;3708
4577	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Poales;f__Poaceae;g__Zea;s__Zea mays	2759;35493;3398;38820;4479;4575;4577
3847	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Fabales;f__Fabaceae;g__Glycine;s__Glycine max	2759;35493;3398;72025;3803;3846;3847
4682	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Asparagales;f__Amaryllidaceae;g__Allium;s__Allium sativum	2759;35493;3398;73496;4668;4678;4682
4640	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Zingiberales;f__Musaceae;g__Musa;s__	2759;35493;3398;4618;4637;4640;
3749	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Rosales;f__Rosaceae;g__Malus;s__	2759;35493;3398;3744;3745;3749;
3750	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Rosales;f__Rosaceae;g__Malus;s__Malus domestica	2759;35493;3398;3744;3745;3749;3750
91752	k__Eukaryota;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Hericiaceae;g__Hericium;s__Hericium erinaceus	2759;5204;155619;452342;40458;40459;91752
5322	k__Eukaryota;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Pleurotaceae;g__Pleurotus;s__Pleurotus ostreatus	2759;5204;155619;5338;104366;5320;5322
5353	k__Eukaryota;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Omphalotaceae;g__Lentinula;s__Lentinula edodes	2759;5204;155619;5338;72117;5352;5353
5341	k__Eukaryota;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricaceae;g__Agaricus;s__Agaricus bisporus	2759;5204;155619;5338;5339;5340;5341
4222	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Asterales;f__Asteraceae;g__Carthamus;s__Carthamus tinctorius	2759;35493;3398;4209;4210;4221;4222
3562	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Caryophyllales;f__Chenopodiaceae;g__Spinacia;s__Spinacia oleracea	2759;35493;3398;3524;1804623;3561;3562
4751	k__Eukaryota;p__;c__;o__;f__;g__;s__	2759;;;;;;
58933	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Poales;f__Poaceae;g__Triticum;s__Triticum spelta	2759;35493;3398;38820;4479;4564;58933
29760	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Vitales;f__Vitaceae;g__Vitis;s__Vitis vinifera	2759;35493;3398;403667;3602;3603;29760
13749	k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Ericales;f__Ericaceae;g__Vaccinium;s__	2759;35493;3398;41945;4345;13749;
5323	k__Eukaryota;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Pleurotaceae;g__Pleurotus;s__Pleurotus eryngii	2759;5204;155619;5338;104366;5320;5323
38945	k__Eukaryota;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Physalacriaceae;g__Flammulina;s__Flammulina velutipes	2759;5204;155619;5338;862241;38944;38945
