food_id,wikipedia_id,food_group,food_subgroup,ncbi_taxonomy_id,db,rank,matched_taxid,kingdom,phylum,class,order,family,genus,species
48,Endive,Vegetables,Leaf vegetables,114280,genbank,species,114280,Eukaryota,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Cichorium,Cichorium endivia
49,Chicory,Vegetables,Root vegetables,13427,genbank,species,13427,Eukaryota,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Cichorium,Cichorium intybus
250,"",Vegetables,Leaf vegetables,13427,genbank,species,13427,Eukaryota,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Cichorium,Cichorium intybus
254,Chicory,Vegetables,Root vegetables,13427,genbank,species,13427,Eukaryota,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Cichorium,Cichorium intybus
52,Watermelon,Gourds,Gourds,3654,genbank,species,3654,Eukaryota,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Citrullus,Citrullus lanatus
54,Lemon,Fruits,Citrus,2708,genbank,species,2708,Eukaryota,Streptophyta,Magnoliopsida,Sapindales,Rutaceae,Citrus,Citrus x limon
55,Pomelo,Fruits,Citrus,37334,genbank,species,37334,Eukaryota,Streptophyta,Magnoliopsida,Sapindales,Rutaceae,Citrus,Citrus maxima
56,Mandarin_orange,Fruits,Citrus,85571,genbank,species,85571,Eukaryota,Streptophyta,Magnoliopsida,Sapindales,Rutaceae,Citrus,Citrus reticulata
57,Sweet_orange,Fruits,Citrus,2711,genbank,species,2711,Eukaryota,Streptophyta,Magnoliopsida,Sapindales,Rutaceae,Citrus,Citrus sinensis
59,Arabica_coffee,Coffee and coffee products,Coffee,13443,genbank,species,13443,Eukaryota,Streptophyta,Magnoliopsida,Gentianales,Rubiaceae,Coffea,Coffea arabica
60,Robusta coffee,Coffee and coffee products,Coffee,49390,genbank,species,49390,Eukaryota,Streptophyta,Magnoliopsida,Gentianales,Rubiaceae,Coffea,Coffea canephora
62,Corylus avellana,Nuts,Nuts,13451,genbank,species,13451,Eukaryota,Streptophyta,Magnoliopsida,Fagales,Betulaceae,Corylus,Corylus avellana
