sample_id,name,taxonomy_id,taxonomy_lvl,kraken_assigned_reads,added_reads,new_est_reads,fraction_total_reads,lineage,taxid_lineage
D_SRR23930559,Bacteria,2,D,1437282,0,1437282,0.99933,k__Bacteria;p__;c__;o__;f__;g__;s__,2;;;;;;
D_SRR23930559,Eukaryota,2759,D,133,0,133,0.00009,k__Eukaryota;p__;c__;o__;f__;g__;s__,2759;;;;;;
D_SRR23930559,Archaea,2157,D,39,0,39,0.00003,k__Archaea;p__;c__;o__;f__;g__;s__,2157;;;;;;
D_SRR23930559,Viruses,10239,D,394,0,394,0.00027,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_SRR23930559,Duplodnaviria,2731341,D,394,0,394,0.00027,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_SRR23930531,Bacteria,2,D,1169986,0,1169986,0.97383,k__Bacteria;p__;c__;o__;f__;g__;s__,2;;;;;;
D_SRR23930531,Archaea,2157,D,30977,0,30977,0.02578,k__Archaea;p__;c__;o__;f__;g__;s__,2157;;;;;;
D_SRR23930531,Eukaryota,2759,D,224,0,224,0.00019,k__Eukaryota;p__;c__;o__;f__;g__;s__,2759;;;;;;
D_SRR23930531,Viruses,10239,D,118,0,118,0.00010,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_SRR23930531,Duplodnaviria,2731341,D,118,0,118,0.00010,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_SRR23930533,Bacteria,2,D,1153870,0,1153870,0.97380,k__Bacteria;p__;c__;o__;f__;g__;s__,2;;;;;;
D_SRR23930533,Archaea,2157,D,30564,0,30564,0.02579,k__Archaea;p__;c__;o__;f__;g__;s__,2157;;;;;;
D_SRR23930533,Eukaryota,2759,D,212,0,212,0.00018,k__Eukaryota;p__;c__;o__;f__;g__;s__,2759;;;;;;
D_SRR23930533,Viruses,10239,D,133,0,133,0.00011,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_SRR23930533,Duplodnaviria,2731341,D,133,0,133,0.00011,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_SRR23930542,Bacteria,2,D,2257949,0,2257949,0.99852,k__Bacteria;p__;c__;o__;f__;g__;s__,2;;;;;;
D_SRR23930542,Eukaryota,2759,D,815,0,815,0.00036,k__Eukaryota;p__;c__;o__;f__;g__;s__,2759;;;;;;
D_SRR23930542,Archaea,2157,D,39,0,39,0.00002,k__Archaea;p__;c__;o__;f__;g__;s__,2157;;;;;;
D_SRR23930542,Viruses,10239,D,1245,0,1245,0.00055,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_SRR23930542,Duplodnaviria,2731341,D,1245,0,1245,0.00055,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_SRR22795505,Bacteria,2,D,3605696,0,3605696,0.99907,k__Bacteria;p__;c__;o__;f__;g__;s__,2;;;;;;
D_SRR22795505,Archaea,2157,D,558,0,558,0.00015,k__Archaea;p__;c__;o__;f__;g__;s__,2157;;;;;;
D_SRR22795505,Eukaryota,2759,D,277,0,277,0.00008,k__Eukaryota;p__;c__;o__;f__;g__;s__,2759;;;;;;
D_SRR22795505,Viruses,10239,D,1255,0,1255,0.00035,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_SRR22795505,Duplodnaviria,2731341,D,1255,0,1255,0.00035,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_SRR23930635,Bacteria,2,D,4475668,0,4475668,0.99867,k__Bacteria;p__;c__;o__;f__;g__;s__,2;;;;;;
D_SRR23930635,Eukaryota,2759,D,1024,0,1024,0.00023,k__Eukaryota;p__;c__;o__;f__;g__;s__,2759;;;;;;
D_SRR23930635,Archaea,2157,D,75,0,75,0.00002,k__Archaea;p__;c__;o__;f__;g__;s__,2157;;;;;;
D_SRR23930635,Viruses,10239,D,2441,0,2441,0.00054,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_SRR23930635,Duplodnaviria,2731341,D,2441,0,2441,0.00054,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_SRR23930543,Bacteria,2,D,2427947,0,2427947,0.99921,k__Bacteria;p__;c__;o__;f__;g__;s__,2;;;;;;
D_SRR23930543,Eukaryota,2759,D,783,0,783,0.00032,k__Eukaryota;p__;c__;o__;f__;g__;s__,2759;;;;;;
D_SRR23930543,Viruses,10239,D,574,0,574,0.00024,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_SRR23930543,Duplodnaviria,2731341,D,574,0,574,0.00024,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_SRR23931009,Bacteria,2,D,3006040,0,3006040,0.99012,k__Bacteria;p__;c__;o__;f__;g__;s__,2;;;;;;
D_SRR23931009,Archaea,2157,D,29312,0,29312,0.00965,k__Archaea;p__;c__;o__;f__;g__;s__,2157;;;;;;
D_SRR23931009,Eukaryota,2759,D,384,0,384,0.00013,k__Eukaryota;p__;c__;o__;f__;g__;s__,2759;;;;;;
D_SRR23931009,Viruses,10239,D,146,0,146,0.00005,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_SRR23931009,Duplodnaviria,2731341,D,146,0,146,0.00005,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_SRR23930638,Bacteria,2,D,2744719,0,2744719,0.98206,k__Bacteria;p__;c__;o__;f__;g__;s__,2;;;;;;
D_SRR23930638,Archaea,2157,D,49548,0,49548,0.01773,k__Archaea;p__;c__;o__;f__;g__;s__,2157;;;;;;
D_SRR23930638,Eukaryota,2759,D,343,0,343,0.00012,k__Eukaryota;p__;c__;o__;f__;g__;s__,2759;;;;;;
D_SRR23930638,Viruses,10239,D,128,0,128,0.00005,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_SRR23930638,Duplodnaviria,2731341,D,128,0,128,0.00005,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_SRR23930534,Bacteria,2,D,1768892,0,1768892,0.98182,k__Bacteria;p__;c__;o__;f__;g__;s__,2;;;;;;
D_SRR23930534,Archaea,2157,D,24896,0,24896,0.01382,k__Archaea;p__;c__;o__;f__;g__;s__,2157;;;;;;
D_SRR23930534,Eukaryota,2759,D,5756,0,5756,0.00319,k__Eukaryota;p__;c__;o__;f__;g__;s__,2759;;;;;;
D_SRR23930534,Viruses,10239,D,1048,0,1048,0.00058,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_SRR23930534,Duplodnaviria,2731341,D,1048,0,1048,0.00058,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_SRR23931001,Bacteria,2,D,2493322,0,2493322,0.99447,k__Bacteria;p__;c__;o__;f__;g__;s__,2;;;;;;
D_SRR23931001,Archaea,2157,D,12729,0,12729,0.00508,k__Archaea;p__;c__;o__;f__;g__;s__,2157;;;;;;
D_SRR23931001,Eukaryota,2759,D,269,0,269,0.00011,k__Eukaryota;p__;c__;o__;f__;g__;s__,2759;;;;;;
D_SRR23931001,Viruses,10239,D,437,0,437,0.00017,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_SRR23931001,Duplodnaviria,2731341,D,437,0,437,0.00017,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_SRR23930538,Bacteria,2,D,3937073,0,3937073,0.96507,k__Bacteria;p__;c__;o__;f__;g__;s__,2;;;;;;
D_SRR23930538,Archaea,2157,D,36203,0,36203,0.00887,k__Archaea;p__;c__;o__;f__;g__;s__,2157;;;;;;
D_SRR23930538,Eukaryota,2759,D,1687,0,1687,0.00041,k__Eukaryota;p__;c__;o__;f__;g__;s__,2759;;;;;;
D_SRR23930538,Viruses,10239,D,52295,0,52295,0.01282,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_SRR23930538,Duplodnaviria,2731341,D,52294,0,52294,0.01282,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_SRR23930536,Bacteria,2,D,2517424,0,2517424,0.99927,k__Bacteria;p__;c__;o__;f__;g__;s__,2;;;;;;
D_SRR23930536,Eukaryota,2759,D,1820,0,1820,0.00072,k__Eukaryota;p__;c__;o__;f__;g__;s__,2759;;;;;;
D_SRR23930536,Viruses,10239,D,15,0,15,0.00001,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_SRR23930536,Duplodnaviria,2731341,D,15,0,15,0.00001,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_SRR23930637,Bacteria,2,D,4994085,0,4994085,0.99991,k__Bacteria;p__;c__;o__;f__;g__;s__,2;;;;;;
D_SRR23930637,Eukaryota,2759,D,364,0,364,0.00007,k__Eukaryota;p__;c__;o__;f__;g__;s__,2759;;;;;;
D_SRR23930637,Archaea,2157,D,18,0,18,0.00000,k__Archaea;p__;c__;o__;f__;g__;s__,2157;;;;;;
D_SRR23930637,Viruses,10239,D,31,0,31,0.00001,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_SRR23930637,Duplodnaviria,2731341,D,31,0,31,0.00001,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_SRR22795485,Bacteria,2,D,3006230,0,3006230,0.99989,k__Bacteria;p__;c__;o__;f__;g__;s__,2;;;;;;
D_SRR22795485,Eukaryota,2759,D,312,0,312,0.00010,k__Eukaryota;p__;c__;o__;f__;g__;s__,2759;;;;;;
D_SRR22795485,Archaea,2157,D,25,0,25,0.00001,k__Archaea;p__;c__;o__;f__;g__;s__,2157;;;;;;
D_SRR23930561,Bacteria,2,D,2324448,0,2324448,0.99782,k__Bacteria;p__;c__;o__;f__;g__;s__,2;;;;;;
D_SRR23930561,Archaea,2157,D,3988,0,3988,0.00171,k__Archaea;p__;c__;o__;f__;g__;s__,2157;;;;;;
D_SRR23930561,Eukaryota,2759,D,785,0,785,0.00034,k__Eukaryota;p__;c__;o__;f__;g__;s__,2759;;;;;;
D_SRR23930561,Viruses,10239,D,156,0,156,0.00007,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_SRR23930561,Duplodnaviria,2731341,D,156,0,156,0.00007,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_SRR23930639,Bacteria,2,D,4733669,0,4733669,0.99965,k__Bacteria;p__;c__;o__;f__;g__;s__,2;;;;;;
D_SRR23930639,Eukaryota,2759,D,539,0,539,0.00011,k__Eukaryota;p__;c__;o__;f__;g__;s__,2759;;;;;;
D_SRR23930639,Archaea,2157,D,64,0,64,0.00001,k__Archaea;p__;c__;o__;f__;g__;s__,2157;;;;;;
D_SRR23930639,Viruses,10239,D,533,0,533,0.00011,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_SRR23930639,Duplodnaviria,2731341,D,533,0,533,0.00011,k__Viruses;p__;c__;o__;f__;g__;s__,10239;;;;;;
D_SRR23930643,Bacteria,2,D,5149670,0,5149670,0.99948,k__Bacteria;p__;c__;o__;f__;g__;s__,2;;;;;;
D_SRR23930643,Eukaryota,2759,D,636,0,636,0.00012,k__Eukaryota;p__;c__;o__;f__;g__;s__,2759;;;;;;
D_SRR23930643,Archaea,2157,D,44,0,44,0.00001,k__Archaea;p__;c__;o__;f__;g__;s__,2157;;;;;;
